partida_id,clube,atleta,minuto,tipo_de_gol
4987,Coritiba,Rafhael Lucas,3,
4987,Chapecoense,Roger Rodrigues da Silva,66,
4987,Chapecoense,Elicarlos,30,
4988,Palmeiras,Vitor Hugo Franchescoli de Souza,82,
4988,Atletico-MG,Jô,86,
4988,Atletico-MG,Patric Cabral Lalau,51,
4988,Palmeiras,Rafael Marques Mariano,90+5,
4989,Fluminense,Vinícius,88,
4990,Ponte Preta,Renato Cajá,62,
4990,Gremio,Matías Rodríguez,78,
4990,Ponte Preta,Diego Oliveira,90+4,
4990,Gremio,Yuri Mamute,54,
4990,Ponte Preta,Rildo de Andrade Felicissimo,64,
4990,Gremio,Yuri Mamute,25,
4991,Athletico-PR,Felipe de Oliveira Silva,66,Penalty
4991,Athletico-PR,Paulo Marcos de Jesus Ribeiro,69,Gol Contra
4991,Athletico-PR,Walter Henrique da Silva,14,
4992,Sao Paulo,Luís Fabiano,74,
4992,Flamengo,Éverton Cardoso da Silva,86,Penalty
4992,Sao Paulo,Alexandre Pato,80,
4993,Corinthians,Ángel Romero,82,
4994,Figueirense,Renê Rodrigues Martins,68,Gol Contra
4994,Sport,Régis,88,
4994,Sport,Diego Souza,78,Penalty
4994,Sport,Matheus Ferraz Pereira,20,
4994,Sport,Diego Souza,64,Penalty
4995,Santos,Robinho,27,
4995,Avai,Marquinhos Santos,64,
4997,Goias,Bruno Henrique,81,
4997,Goias,Bruno Henrique,55,
4998,Coritiba,Frickson Erazo,34,Gol Contra
4998,Coritiba,Thiago Galhardo,27,
4999,Corinthians,Fábio Santos,28,
5001,Atletico-MG,Jemerson de Jesus Nascimento,37,
5001,Fluminense,Fred,89,Penalty
5001,Atletico-MG,Jemerson de Jesus Nascimento,7,
5001,Atletico-MG,Luan Madson Gedeão de Paiva,81,
5001,Atletico-MG,Jesús Dátolo,53,
5002,Flamengo,Éverton Cardoso da Silva,90+6,
5002,Flamengo,Héctor Canteros,74,
5002,Sport,José Élber Pimentel da Silva,69,
5002,Sport,Diego Souza,45+2,Penalty
5003,Santos,Geuvânio,45,
5005,Ponte Preta,Renato Cajá,14,
5006,Internacional,Victor Vinícius Coelho Santos,63,
5007,Sao Paulo,Alexandre Pato,86,
5007,Sao Paulo,Michel Bastos,58,
5007,Sao Paulo,Matheus Dória Macedo,11,
5008,Vasco,Lucas Santos Siqueira,81,
5008,Internacional,Nilmar,45+1,
5009,Gremio,Braian Rodríguez,78,
5010,Goias,Victor Ramos,76,Gol Contra
5011,Chapecoense,Apodi,21,
5012,Athletico-PR,Douglas Coutinho,40,
5014,Flamengo,Gabriel Santana,51,
5014,Avai,Hugo da Silva Cabral,62,
5014,Avai,Hugo da Silva Cabral,47,
5015,Cruzeiro,Charles Fernando Basílio da Silva,82,
5015,Ponte Preta,Biro-Biro,85,
5016,Sport,Neto,29,
5017,Ponte Preta,Biro-Biro,48,
5017,Ponte Preta,Tiago dos Santos Alves,6,
5017,Chapecoense,José Gildeixon Clemente de Paiva,89,
5017,Ponte Preta,Renato Cajá,90+3,
5018,Avai,Anderson Lopes,1,
5018,Coritiba,Paulinho Moccelin,50,
5018,Avai,Roberto César Zardin Rodrigues,79,
5019,Athletico-PR,Douglas Coutinho,33,
5019,Athletico-PR,Nikão,30,
5019,Joinville,Rafael Costa,65,
5020,Sport,Samuel Xavier,90+3,
5020,Sport,Joelinton Cassio Apolinário de Lira,51,
5020,Santos,Werley Ananias da Silva,70,
5020,Santos,Robinho,43,
5021,Gremio,Giuliano Victor de Paula,36,
5021,Goias,Rodrigo Vasconcelos Oliveira,52,
5022,Atletico-MG,Thiago Ribeiro,44,
5022,Atletico-MG,Thiago Ribeiro,12,
5022,Atletico-MG,Jesús Dátolo,20,
5023,Palmeiras,Zé Roberto,45+2,
5023,Palmeiras,Rafael Marques Mariano,25,
5025,Flamengo,Alecsandro,37,
5025,Fluminense,Marcos Rogério Ricci Lopes,33,Gol Contra
5025,Fluminense,Fred,46,
5025,Fluminense,Fred,8,Penalty
5025,Flamengo,Eduardo da Silva,86,
5026,Figueirense,Carlos Alberto Gomes de Jesus,50,
5026,Figueirense,Marcos Roberto da Silva Barbosa,36,
5026,Cruzeiro,Henrique Pacheco Lima,41,
5027,Athletico-PR,Nikão,20,
5028,Ponte Preta,Tiago dos Santos Alves,39,
5028,Ponte Preta,Diego Oliveira,1,
5028,Ponte Preta,Borges,78,
5029,Chapecoense,Bruno César Pereira da Silva,29,
5029,Chapecoense,Ananias Elói Castro Monteiro,11,
5030,Sao Paulo,Michel Bastos,33,
5030,Santos,Ricardo Oliveira,47,
5030,Sao Paulo,Rogério Ceni,85,Penalty
5030,Santos,Ricardo Oliveira,45+1,
5030,Sao Paulo,Paulo Miranda,50,
5031,Cruzeiro,Manoel Messias Silva Carvalho,78,
5032,Atletico-MG,Antonio Carlos Capocasali,24,Gol Contra
5032,Atletico-MG,Lucas Pratto,68,
5032,Atletico-MG,Carlos Júnior,77,
5032,Atletico-MG,Carlos Júnior,13,
5032,Avai,André Lima,74,
5033,Corinthians,Stiven Mendoza,23,
5033,Gremio,Luan Guilherme de Jesus Vieira,39,
5033,Gremio,Marcelo Oliveira Ferreira,4,
5033,Gremio,Giuliano Victor de Paula,3,
5034,Fluminense,Marcos Júnior,88,
5034,Fluminense,Vinícius,30,
5035,Sport,Maikon Leite,90+3,
5036,Palmeiras,Vitor Hugo Franchescoli de Souza,64,
5036,Internacional,Rafael Moura,76,
5037,Cruzeiro,Marcos Antônio da Silva Gonçalves,72,
5037,Cruzeiro,Gabriel Xavier,46,
5037,Atletico-MG,Luan Madson Gedeão de Paiva,13,
5037,Cruzeiro,Jemerson de Jesus Nascimento,45+2,Gol Contra
5038,Flamengo,Gabriel Santana,65,
5039,Ponte Preta,Renato Cajá,72,
5039,Santos,Ricardo Oliveira,61,Penalty
5039,Ponte Preta,Felipe Azevedo,53,
5039,Santos,Geuvânio,23,
5040,Athletico-PR,Ytalo José dos Santos,90+2,
5040,Athletico-PR,Nikão,60,Penalty
5041,Corinthians,Jadson,31,
5042,Sao Paulo,Luís Fabiano,27,
5042,Sao Paulo,Rogério Ceni,56,Penalty
5043,Internacional,Victor Vinícius Coelho Santos,26,
5043,Internacional,Nilmar,36,
5044,Palmeiras,Gabriel Girotto Franco,11,
5044,Figueirense,Thiago Santos Santana,62,
5044,Figueirense,Carlos Alberto Gomes de Jesus,8,
5045,Avai,Rômulo,90+4,
5047,Santos,Gabriel Barbosa,54,
5047,Santos,Ricardo Oliveira,19,
5047,Atletico-MG,Werley Ananias da Silva,28,Gol Contra
5047,Atletico-MG,Jesús Dátolo,43,
5048,Flamengo,Eduardo da Silva,39,
5049,Sao Paulo,Josef de Souza Dias,6,
5050,Corinthians,Vágner Love,67,
5050,Corinthians,Jadson,51,
5050,Internacional,Nilmar,41,
5051,Joinville,Marcelinho Paraíba,79,
5051,Sport,Maikon Leite,39,
5051,Sport,Maikon Leite,16,
5052,Cruzeiro,Charles Fernando Basílio da Silva,58,
5052,Cruzeiro,Leandro Damião,74,
5052,Cruzeiro,Leandro Damião,38,
5052,Vasco,Rodrigo Baldasso da Costa,88,
5054,Figueirense,Marcos Roberto da Silva Barbosa,15,
5054,Avai,Anderson Lopes,36,
5055,Palmeiras,Jonatan Cristaldo,90+1,
5055,Palmeiras,Rafael Marques Mariano,45+2,
5055,Fluminense,Jean Raphael Vanderlei Moreira,17,
5056,Athletico-PR,Hernani Azevedo Junior,52,
5056,Gremio,Luiz Rhodolfo Dini Gaioto,71,
5056,Gremio,Giuliano Victor de Paula,33,
5058,Vasco,Duvier Riascos,42,
5058,Sport,Wendel Geraldo Maurício e Silva,81,
5058,Sport,André Felipe Ribeiro de Souza,20,
5059,Atletico-MG,Lucas Pratto,41,
5059,Atletico-MG,Samir,22,Gol Contra
5060,Santos,Ricardo Oliveira,10,
5061,Gremio,Maicon,55,
5062,Chapecoense,Camilo,36,
5063,Joinville,Everton Kempes dos Santos Gonçalves,35,
5063,Goias,Wesley,26,
5063,Joinville,Everton Kempes dos Santos Gonçalves,45+1,
5064,Athletico-PR,Edigar Junio,82,
5064,Athletico-PR,Walter Henrique da Silva,25,
5064,Coritiba,Ruy Franco de Almeida Junior,77,
5064,Coritiba,Wellington Paulista,19,
5065,Avai,André Lima,89,
5065,Sao Paulo,Josef de Souza Dias,55,
5066,Fluminense,Vinícius,90+5,
5066,Fluminense,Wellington do Nascimento Silva,55,
5067,Gremio,Luan Guilherme de Jesus Vieira,10,
5067,Gremio,Pedro Rocha Neves,1,
5067,Avai,Anderson Lopes,56,Penalty
5068,Sport,Rithely,29,
5068,Chapecoense,Bruno Rangel,88,
5069,Figueirense,Thiago Santos Santana,73,
5069,Corinthians,Jadson,65,Penalty
5069,Corinthians,Vágner Love,55,
5070,Atletico-MG,Leonardo Silva,34,
5071,Palmeiras,Rafael Marques Mariano,58,
5071,Palmeiras,Victor Ramos,41,
5071,Palmeiras,Leandro,32,
5071,Palmeiras,Jonatan Cristaldo,72,
5072,Fluminense,Edson Felipe da Cruz,62,
5072,Fluminense,Wagner Ferreira dos Santos,53,
5072,Goias,Erik Nascimento de Lima,34,
5073,Athletico-PR,Nikão,28,
5073,Ponte Preta,Felipe Azevedo,70,
5073,Ponte Preta,Renato Cajá,30,
5074,Coritiba,Rafhael Lucas,62,
5075,Vasco,Duvier Riascos,16,
5076,Internacional,Valdívia,77,
5077,Sport,Jonathan Marlone,30,
5077,Sport,André Felipe Ribeiro de Souza,36,
5077,Sport,André Felipe Ribeiro de Souza,10,Penalty
5078,Vasco,Emanuel Biancucchi,69,
5079,Palmeiras,Jonatan Cristaldo,70,
5079,Palmeiras,Egídio de Araújo Pereira Júnior,28,
5080,Atletico-MG,Thiago Ribeiro,45,
5080,Atletico-MG,Thiago Ribeiro,67,
5081,Flamengo,Emerson Sheik,55,
5082,Gremio,Douglas dos Santos,69,Penalty
5083,Athletico-PR,Marcos Guilherme,58,
5083,Athletico-PR,Gustavo Schiavolin,36,
5083,Sao Paulo,Ricardo Centurión,72,
5084,Corinthians,Vágner Love,90+6,
5084,Corinthians,Jadson,41,
5085,Figueirense,Thiago Santos Santana,24,
5085,Goias,Felipe Menezes,47,
5085,Figueirense,Paulo Roberto da Silva,80,
5085,Figueirense,Clayton da Silveira da Silva,34,
5086,Fluminense,Fred,40,
5086,Santos,Ricardo Oliveira,54,
5086,Fluminense,Lucas Gomes,80,
5088,Chapecoense,Hélio Hermito Zampier Neto,75,
5089,Cruzeiro,Giorgian De Arrascaeta,41,
5089,Cruzeiro,Mário Sérgio Santos Costa,73,
5090,Avai,Samuel Xavier,40,Gol Contra
5090,Sport,Diego Souza,21,
5090,Sport,André Felipe Ribeiro de Souza,90+3,Penalty
5090,Avai,Renan Martins Pereira,38,
5093,Santos,Ricardo Oliveira,65,
5093,Gremio,Yuri Mamute,81,
5093,Gremio,Rafael Galhardo,49,
5093,Gremio,Pedro Rocha Neves,4,
5094,Palmeiras,Eduardo Pereira Rodrigues,9,
5094,Palmeiras,Eduardo Pereira Rodrigues,40,
5095,Figueirense,Fabinho,90+3,
5095,Figueirense,Ricardo de Souza Silva,61,
5095,Flamengo,Alan Patrick,47,
5096,Atletico-MG,Thiago Ribeiro,79,
5096,Atletico-MG,Maicosuel,77,
5096,Atletico-MG,Maicosuel,59,
5096,Internacional,Lisandro López,86,
5097,Chapecoense,Bruno Rangel,77,
5098,Goias,Carlos Eduardo Ferreira de Souza,62,
5098,Goias,Felipe Menezes,48,Penalty
5098,Goias,Fred,52,
5098,Goias,Felipe Menezes,59,
5098,Santos,Ricardo Oliveira,90,Penalty
5100,Joinville,Everton Kempes dos Santos Gonçalves,61,
5100,Joinville,Everton Kempes dos Santos Gonçalves,12,
5101,Palmeiras,Lucas Rios Marques,65,
5101,Palmeiras,Rafael Marques Mariano,8,
5101,Palmeiras,Jonatan Cristaldo,89,
5102,Sport,Matheus Ferraz Pereira,50,
5102,Atletico-MG,Giovanni Augusto,54,
5102,Atletico-MG,Lucas Pratto,47,
5103,Flamengo,Éverton Cardoso da Silva,66,
5103,Flamengo,Paolo Guerrero,11,
5103,Internacional,Ernando Rodrigues Lopes,90+3,
5104,Sao Paulo,Alexandre Pato,13,
5104,Sao Paulo,Gabriel Boschilia,90+3,
5104,Sao Paulo,Wesley Lopes Beltrame,49,
5104,Sao Paulo,Michel Bastos,18,
5105,Corinthians,Elias Mendes Trindade,34,
5105,Corinthians,Jadson,77,
5106,Fluminense,Gustavo Scarpa,74,
5107,Santos,Lucas Rafael Araújo Lima,46,
5107,Santos,David Braz,31,
5107,Santos,Gabriel Barbosa,63,
5108,Gremio,Pedro Rocha Neves,81,
5108,Gremio,Anderson Salles,60,Gol Contra
5109,Atletico-MG,Giovanni Augusto,88,
5109,Atletico-MG,Thiago Ribeiro,28,
5110,Coritiba,Marcos Aurélio de Oliveira Lima,60,
5110,Sao Paulo,Alexandre Pato,90+1,
5110,Sao Paulo,Alexandre Pato,45+1,
5110,Sao Paulo,Ricardo Centurión,15,
5111,Internacional,Victor Vinícius Coelho Santos,45,Penalty
5111,Internacional,Réver,33,
5112,Corinthians,Jadson,63,
5112,Corinthians,Uendel Pereira Gonçalves,45+4,
5112,Corinthians,Elias Mendes Trindade,26,
5113,Fluminense,Fred,90+3,
5113,Fluminense,Gustavo Scarpa,52,
5113,Athletico-PR,Sidcley Ferreira Pereira,69,
5114,Cruzeiro,Joel Tagueu,38,
5115,Palmeiras,Leandro,59,
5115,Palmeiras,Leandro,44,
5115,Sport,André Felipe Ribeiro de Souza,90,
5115,Sport,Matheus Ferraz Pereira,22,
5116,Chapecoense,Bruno Rangel,48,
5116,Avai,William Júnior Salles de Lima Souza,19,
5116,Avai,Emerson dos Santos da Silva,10,
5117,Internacional,Eduardo,58,
5117,Goias,Felipe Menezes,80,Penalty
5117,Internacional,Eduardo Sasha,88,
5118,Flamengo,Paolo Guerrero,41,
5119,Corinthians,Malcom Filipe Silva de Oliveira,42,
5120,Athletico-PR,Hernani Azevedo Junior,52,
5122,Sport,Wéverton Almeida Santos,90+3,
5122,Sport,José Élber Pimentel da Silva,34,
5123,Vasco,Andrezinho,39,
5123,Fluminense,Marcos Júnior,59,
5123,Vasco,Jhon Cley,70,
5124,Palmeiras,Leandro,15,
5125,Avai,André Lima,82,
5125,Cruzeiro,Marcos Vinícius de Jesus Araújo,13,
5126,Ponte Preta,Fernando Paixão da Silva,74,Penalty
5126,Joinville,Silvinho,55,
5127,Athletico-PR,Marcos Guilherme,90,
5127,Athletico-PR,Marcos Guilherme,43,
5127,Avai,Rômulo,84,
5128,Sport,Diego Souza,63,
5128,Gremio,Pedro Rocha Neves,45,
5129,Atletico-MG,Lucas Pratto,63,Penalty
5130,Fluminense,Edson Felipe da Cruz,29,
5130,Chapecoense,Bruno Rangel,27,
5130,Chapecoense,Bruno Rangel,90,Penalty
5131,Santos,Gabriel Barbosa,18,
5131,Santos,Gabriel Barbosa,4,
5133,Corinthians,Felipe Augusto de Almeida Monteiro,41,
5133,Coritiba,Evandro da Silva,90+2,
5134,Sao Paulo,Alexandre Pato,45,
5135,Flamengo,Marcelo Cirino da Silva,72,
5136,Palmeiras,Leandro,4,
5136,Palmeiras,Victor Ramos,35,
5136,Vasco,Duvier Riascos,69,
5136,Palmeiras,Eduardo Pereira Rodrigues,18,
5136,Palmeiras,Leandro,55,
5137,Corinthians,Renato Augusto,47,
5137,Corinthians,Elias Mendes Trindade,77,
5137,Corinthians,Carlos Gilberto do Nascimento Silva,61,
5138,Atletico-MG,Lucas Pratto,26,
5138,Atletico-MG,Lucas Pratto,20,
5138,Sao Paulo,Alexandre Pato,59,
5138,Atletico-MG,Lucas Pratto,44,
5139,Fluminense,Marcos Júnior,77,
5140,Coritiba,Evandro da Silva,90,
5140,Goias,Liniker da Silva Moreira,69,
5141,Athletico-PR,Walter Henrique da Silva,77,
5142,Joinville,Guti,61,
5142,Joinville,Jeci,40,Gol Contra
5144,Figueirense,João Vitor Lima Gomes,4,
5144,Ponte Preta,Renato de Araújo Chaves Júnior,51,
5144,Figueirense,Dudu,90+2,
5144,Figueirense,Marcos Roberto da Silva Barbosa,74,
5145,Flamengo,Alan Patrick,40,
5145,Santos,Lucas Rafael Araújo Lima,72,
5145,Santos,Ricardo Oliveira,52,
5145,Flamengo,Emerson Sheik,42,
5147,Avai,André Lima,6,
5148,Santos,Ivan Aparecido Martins,43,Gol Contra
5148,Santos,Ricardo Oliveira,60,
5148,Santos,Geuvânio,20,
5149,Sport,Jonathan Marlone,16,
5149,Athletico-PR,Christián Vilches,90+8,
5151,Corinthians,Luciano da Rocha Neves,21,
5151,Sao Paulo,Luís Fabiano,48,
5152,Cruzeiro,Giorgian De Arrascaeta,82,
5152,Cruzeiro,Alisson Euler de Freitas Castro,5,
5152,Palmeiras,Jonatan Cristaldo,74,
5153,Ponte Preta,Pablo Castro,71,
5155,Gremio,Réver,84,Gol Contra
5155,Gremio,Luan Guilherme de Jesus Vieira,43,
5155,Gremio,Giuliano Victor de Paula,35,
5155,Gremio,Luiz Fernando Pereira da Silva,76,
5155,Gremio,Luan Guilherme de Jesus Vieira,49,
5156,Chapecoense,Tiago Luís Martins,56,
5156,Chapecoense,Bruno Rangel,50,
5156,Figueirense,Marcos Assis de Santana,89,
5156,Figueirense,Dudu,83,
5157,Coritiba,Henrique Almeida,82,
5157,Coritiba,Henrique Almeida,18,
5157,Palmeiras,Rafael Marques Mariano,46,
5158,Flamengo,Alan Patrick,45,
5158,Flamengo,Emerson Sheik,40,
5158,Athletico-PR,Kadu,65,
5158,Flamengo,Wallace Reis da Silva,12,
5158,Athletico-PR,Hernani Azevedo Junior,25,
5159,Santos,Victor Ferraz,49,
5161,Sao Paulo,Alexandre Pato,14,
5161,Sao Paulo,Rogério Ceni,27,Penalty
5162,Internacional,Victor Vinícius Coelho Santos,82,
5163,Sport,André Felipe Ribeiro de Souza,17,
5163,Corinthians,Jadson,87,Penalty
5163,Corinthians,Luciano da Rocha Neves,45+2,
5163,Sport,Hernane Vidal de Souza,77,
5163,Corinthians,Luciano da Rocha Neves,13,
5163,Corinthians,Samuel Xavier,60,Gol Contra
5163,Sport,Hernane Vidal de Souza,72,
5164,Ponte Preta,Felipe Azevedo,73,
5164,Ponte Preta,Borges,60,
5165,Joinville,Mariano Trípodi,72,
5165,Joinville,Bruno Aguiar,27,
5165,Joinville,Marcelinho Paraíba,14,
5166,Gremio,Douglas dos Santos,41,
5166,Gremio,Luan Guilherme de Jesus Vieira,55,
5167,Coritiba,Evandro da Silva,90+3,
5169,Goias,Erik Nascimento de Lima,45,
5169,Goias,Felipe Menezes,27,
5169,Goias,Erik Nascimento de Lima,77,
5170,Palmeiras,Alecsandro,71,
5170,Palmeiras,Eduardo Pereira Rodrigues,66,
5170,Palmeiras,Samir,58,Gol Contra
5170,Flamengo,Ederson Honorato Campos,57,
5170,Palmeiras,Jackson de Souza,6,
5170,Flamengo,Ederson Honorato Campos,51,
5171,Corinthians,Luciano da Rocha Neves,45+3,
5171,Avai,André Lima,15,
5171,Corinthians,Luciano da Rocha Neves,87,
5172,Fluminense,Fred,65,
5172,Fluminense,Cícero Santos,49,
5172,Figueirense,Clayton da Silveira da Silva,41,Penalty
5174,Sport,Diego Souza,10,
5174,Ponte Preta,Borges,82,
5175,Joinville,Bruno Aguiar,3,
5175,Gremio,Rafael Galhardo,84,
5175,Gremio,Frickson Erazo,61,
5176,Atletico-MG,Hélio Hermito Zampier Neto,64,Gol Contra
5176,Chapecoense,Apodi,78,
5176,Chapecoense,Cléber Santana,41,
5177,Goias,Zé Love,4,
5177,Goias,Erik Nascimento de Lima,77,Penalty
5177,Goias,Erik Nascimento de Lima,17,Penalty
5178,Avai,Léo Gamalho,29,
5178,Santos,Gabriel Barbosa,11,
5178,Santos,Lucas Rafael Araújo Lima,90+2,Penalty
5178,Santos,Nilson,81,
5178,Santos,Ricardo Oliveira,48,
5178,Avai,Léo Gamalho,83,
5178,Santos,Thiago Maia,14,
5179,Sport,Renê Rodrigues Martins,32,
5179,Figueirense,Bruno Alves,70,
5179,Figueirense,Dudu,63,
5180,Coritiba,Henrique Almeida,24,
5182,Joinville,Marlon,90+1,Gol Contra
5182,Fluminense,Cícero Santos,71,
5182,Joinville,Mario Sérgio,83,
5183,Internacional,Valdívia,4,
5183,Internacional,Paulo Marcos de Jesus Ribeiro,70,
5184,Corinthians,Jadson,44,
5184,Corinthians,Vágner Love,48,
5184,Corinthians,Vágner Love,15,
5185,Sao Paulo,Luiz Eduardo,36,
5185,Flamengo,Paolo Guerrero,48,
5185,Flamengo,Ederson Honorato Campos,42,
5186,Atletico-MG,Lucas Pratto,18,
5186,Palmeiras,Andrei Girotto,5,
5186,Atletico-MG,Lucas Pratto,37,Penalty
5187,Figueirense,Marcos Assis de Santana,90+3,
5188,Sao Paulo,Paulo Henrique Ganso,50,
5188,Sao Paulo,Michel Bastos,35,
5188,Sao Paulo,Wilder Guisao,53,
5190,Avai,Néstor Camacho,90+6,
5190,Avai,Léo Gamalho,84,
5190,Avai,Léo Gamalho,69,Penalty
5191,Joinville,Marcelinho Paraíba,28,
5191,Palmeiras,Gabriel Jesus,1,
5191,Joinville,Marcelinho Paraíba,27,
5191,Palmeiras,Eduardo Pereira Rodrigues,24,
5191,Palmeiras,Gabriel Jesus,68,
5192,Atletico-MG,Patric Cabral Lalau,83,
5192,Atletico-MG,Giovanni Augusto,22,
5192,Fluminense,Wellington Paulista,47,
5193,Flamengo,Éverton Cardoso da Silva,5,
5194,Corinthians,Jadson,90,Penalty
5194,Corinthians,Vágner Love,14,
5194,Corinthians,Elias Mendes Trindade,10,
5194,Chapecoense,Bruno Rangel,45+3,
5195,Santos,Ricardo Oliveira,43,
5196,Athletico-PR,Walter Henrique da Silva,27,
5196,Athletico-PR,Walter Henrique da Silva,78,Penalty
5196,Athletico-PR,Ewandro,90,
5198,Cruzeiro,Vinícius Vasconcelos Araújo,90+4,
5198,Cruzeiro,Willians Domingos Fernandes,43,
5198,Ponte Preta,Biro-Biro,59,
5199,Internacional,Lisandro López,90+1,
5199,Internacional,Lisandro López,53,
5199,Internacional,Nílton Ferreira Júnior,63,
5199,Internacional,Eduardo Sasha,40,
5199,Internacional,Valdívia,58,
5199,Internacional,Ernando Rodrigues Lopes,11,
5200,Flamengo,Kayke Moreno,55,
5200,Flamengo,Alan Patrick,31,
5200,Flamengo,Kayke Moreno,76,
5201,Athletico-PR,Walter Henrique da Silva,58,Penalty
5203,Corinthians,Ralf de Souza Teles,71,
5203,Corinthians,Marciel Silva da Silva,5,
5204,Goias,Bruno Henrique,63,
5205,Chapecoense,Hélio Hermito Zampier Neto,83,
5205,Santos,Geuvânio,58,
5205,Santos,Ricardo Oliveira,76,
5205,Santos,Ricardo Oliveira,16,
5206,Gremio,Pedro Rocha Neves,78,
5206,Gremio,Deyvison Rogério da Silva,7,
5207,Sao Paulo,Michel Bastos,72,
5207,Sao Paulo,José Rogério de Oliveira Melo,49,
5208,Atletico-MG,Lucas Pratto,24,Penalty
5208,Vasco,Nenê,74,Penalty
5208,Atletico-MG,Jesús Dátolo,43,
5210,Cruzeiro,Willian Gomes de Siqueira,72,
5210,Figueirense,Marquinhos Pedroso,66,
5210,Cruzeiro,Willian Gomes de Siqueira,28,
5210,Cruzeiro,Vinícius Vasconcelos Araújo,61,
5210,Cruzeiro,Willian Gomes de Siqueira,4,
5210,Cruzeiro,Willian Gomes de Siqueira,75,
5212,Gremio,Douglas dos Santos,52,
5212,Goias,Bruno Henrique,44,
5212,Gremio,Everton Sousa Soares,83,
5213,Palmeiras,Róbson Michael Signorini,26,
5213,Corinthians,Vágner Love,79,
5213,Palmeiras,Lucas Rios Marques,19,
5213,Corinthians,Guilherme Arana,25,
5213,Palmeiras,Eduardo Pereira Rodrigues,42,
5213,Corinthians,Willian José de Souza,38,Gol Contra
5214,Coritiba,Henrique Almeida,65,
5214,Coritiba,Henrique Almeida,83,
5215,Flamengo,Paulinho,68,
5215,Fluminense,Jean Raphael Vanderlei Moreira,58,Penalty
5215,Flamengo,Kayke Moreno,15,
5215,Flamengo,Emerson Sheik,10,
5216,Santos,Ricardo Oliveira,21,
5216,Sport,André Felipe Ribeiro de Souza,27,
5217,Vasco,Leandro Costa Miranda Moraes,75,
5218,Atletico-MG,Luan Madson Gedeão de Paiva,12,
5218,Atletico-MG,Leonardo Silva,30,
5219,Internacional,Nílton Ferreira Júnior,20,
5220,Athletico-PR,Walter Henrique da Silva,41,
5220,Figueirense,Clayton da Silveira da Silva,44,Penalty
5221,Coritiba,Henrique Almeida,29,
5221,Fluminense,Marcos Júnior,60,
5222,Santos,Ricardo Oliveira,52,
5222,Santos,Rafael Longuine,43,
5222,Santos,David Braz,32,
5223,Gremio,Deyvison Rogério da Silva,59,
5223,Corinthians,Renato Augusto,66,
5224,Goias,Carlos Eduardo Ferreira de Souza,80,
5226,Flamengo,Alan Patrick,45+1,
5226,Flamengo,Luiz Antônio de Souza Soares,69,
5227,Internacional,Victor Vinícius Coelho Santos,45+4,
5228,Palmeiras,Jackson de Souza,46,
5228,Palmeiras,Zé Roberto,88,Penalty
5229,Ponte Preta,Renato Baruffi,9,
5229,Santos,Rafael Longuine,90+3,
5229,Ponte Preta,Borges,44,
5229,Ponte Preta,Luiz Antonio Linhares Garcia,23,
5230,Corinthians,Malcom Filipe Silva de Oliveira,39,
5230,Corinthians,Vágner Love,88,
5230,Corinthians,Uendel Pereira Gonçalves,58,
5231,Atletico-MG,Carlos Júnior,89,
5231,Cruzeiro,Willian Gomes de Siqueira,38,
5232,Sao Paulo,José Rogério de Oliveira Melo,90+1,
5232,Sao Paulo,Alexandre Pato,35,
5232,Gremio,Everton Sousa Soares,90+3,
5233,Flamengo,Paulinho,11,
5233,Chapecoense,Bruno Rangel,81,Penalty
5233,Flamengo,Kayke Moreno,88,
5233,Flamengo,Héctor Canteros,33,
5234,Vasco,Nenê,48,Penalty
5234,Vasco,Júlio César Coelho Moraes Júnior,5,
5235,Avai,Emerson dos Santos da Silva,85,
5235,Goias,Bruno Henrique,29,
5235,Avai,André Lima,90+3,
5236,Sport,Danilo Barcelos,18,
5237,Joinville,Edigar Junio,39,
5237,Sport,André Felipe Ribeiro de Souza,90,
5238,Palmeiras,Lucas Barrios,90,
5238,Palmeiras,Lucas Barrios,69,
5238,Palmeiras,Gabriel Jesus,76,
5238,Fluminense,Jean Raphael Vanderlei Moreira,37,
5238,Palmeiras,Lucas Barrios,90+3,
5239,Ponte Preta,Biro-Biro,6,
5239,Goias,Fred,26,
5239,Ponte Preta,Alexandro da Silva Batista,81,
5240,Avai,Renan Oliveira,81,
5241,Gremio,Douglas dos Santos,32,
5241,Athletico-PR,Ewandro,78,
5241,Gremio,Luan Guilherme de Jesus Vieira,47,
5242,Santos,Ricardo Oliveira,71,
5242,Santos,Gabriel Barbosa,55,
5242,Santos,Gabriel Barbosa,38,
5242,Santos,Marquinhos,90+2,
5243,Corinthians,Malcom Filipe Silva de Oliveira,18,
5243,Internacional,Valdívia,74,
5243,Internacional,Réver,38,
5244,Vasco,Rafael Silva dos Santos,81,
5244,Vasco,Rafael Silva dos Santos,25,
5244,Cruzeiro,Alisson Euler de Freitas Castro,42,
5244,Cruzeiro,Willian Gomes de Siqueira,27,
5246,Coritiba,Henrique Almeida,25,
5246,Coritiba,Kléber,9,Penalty
5247,Palmeiras,Rafael Marques Mariano,59,
5247,Palmeiras,Lucas Barrios,32,
5247,Palmeiras,Vitor Hugo Franchescoli de Souza,7,
5247,Gremio,Luan Guilherme de Jesus Vieira,86,Penalty
5247,Gremio,Luan Guilherme de Jesus Vieira,20,
5248,Internacional,Alex Raphael Meschini,37,Penalty
5248,Figueirense,Thiago Santos Santana,76,
